Date,Open,High,Low,Close,Volume,Adj Close
2013-12-03,4318.34,4320.06,4269.35,4288.76,3053619000,4288.76
2013-12-02,4269.08,4331.59,4265.60,4321.98,3866704400,4321.98
2013-11-29,4220.27,4256.44,4218.54,4256.44,2730447000,4256.44
2013-11-28,4264.20,4274.52,4202.92,4233.92,2929833600,4233.92
2013-11-27,4259.33,4272.43,4220.05,4251.49,2790126000,4251.49
2013-11-26,4329.55,4332.39,4235.26,4235.26,5213520000,4235.26
2013-11-25,4329.38,4346.66,4316.73,4334.80,2571409000,4334.80
2013-11-22,4352.55,4359.58,4303.53,4317.96,2550912400,4317.96
2013-11-21,4327.81,4338.15,4300.13,4326.21,2479265600,4326.21
2013-11-20,4408.40,4408.40,4331.61,4350.79,3003496400,4350.79
2013-11-19,4391.23,4405.07,4365.02,4398.34,3083220400,4398.34
2013-11-18,4361.22,4403.56,4360.86,4393.59,3018332400,4393.59
2013-11-15,4388.91,4406.64,4322.08,4335.45,3268667600,4335.45
2013-11-14,4323.88,4382.90,4323.88,4367.37,3605376800,4367.37
2013-11-13,4358.49,4358.49,4284.03,4301.89,3250460000,4301.89
2013-11-12,4449.28,4455.16,4371.02,4380.64,3692280800,4380.64
2013-11-11,4473.88,4485.06,4433.21,4441.72,3642900400,4441.72
2013-11-08,4460.64,4484.98,4446.48,4476.72,3576991600,4476.72
2013-11-07,4454.41,4494.35,4451.38,4486.11,3095404400,4486.11
2013-11-06,4428.82,4449.76,4415.75,4449.76,2690530400,4449.76
2013-11-04,4426.53,4446.33,4403.40,4423.29,2425877000,4423.29
2013-11-01,4473.73,4518.65,4432.59,4432.59,3494092400,4432.59
2013-10-31,4533.76,4547.35,4483.62,4510.63,3764684800,4510.63
2013-10-30,4563.71,4579.42,4541.76,4574.88,3015842400,4574.88
2013-10-29,4581.10,4592.52,4543.41,4562.77,3053128400,4562.77
2013-10-28,4594.00,4611.26,4573.40,4590.54,3398212400,4590.54
2013-10-25,4579.36,4604.21,4567.41,4580.85,3693656000,4580.85
2013-10-24,4537.56,4594.85,4533.35,4594.85,4364612000,4594.85
2013-10-23,4530.14,4609.11,4530.14,4546.50,4103303600,4546.50
2013-10-22,4551.23,4559.50,4499.69,4512.74,3071937000,4512.74
